station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
DJIG,IGS,1,0,0,0,0,2.3,3.5,-12.0,12.7,27.0,0,Неопределено
DUBO,IGS,1,0,0,0,0,-1.7,-3.8,-2.7,5.0,25.0,0,Неопределено
DUMG,IGS,1,0,0,0,0,-0.1,-12.0,-20.6,23.8,27.0,0,Неопределено
DYNG,IGS,1,0,0,0,0,0.6,4.5,-14.1,14.8,22.0,0,Неопределено
FALK,IGS,1,0,0,0,0,-3.1,-6.7,-6.6,9.9,26.0,0,Неопределено
FAIR,IGS,1,0,0,0,0,-54.0,51.1,-81.69999999999999,110.5,25.0,0,Неопределено
FRDN,IGS,1,0,0,0,0,3.1,-4.6,-5.3,7.7,21.0,0,Неопределено
FLIN,IGS,1,0,0,0,0,-8.1,1.9,-19.3,21.0,27.0,0,Неопределено
EUR2,IGS,1,0,0,0,0,0.4,0.5,-25.9,25.9,26.0,0,Неопределено
FFMJ,IGS,1,0,0,0,0,1.8,5.7,-9.6,11.299999999999999,25.0,0,Неопределено
FTNA,IGS,1,0,0,0,0,-2.3,1.5,7.1000000000000005,7.7,23.0,0,Неопределено
FAA1,IGS,1,0,0,0,0,3.1,0.2,14.6,14.9,22.0,0,Неопределено
GENO,IGS,1,0,0,0,0,0.3,10.3,-12.200000000000001,15.9,19.0,0,Неопределено
GLSV,IGS,1,0,0,0,0,-0.6,3.8,-6.0,7.2,22.0,0,Неопределено
GAMB,IGS,1,0,0,0,0,0.7,0.1,-8.7,8.7,22.0,0,Неопределено
GAMG,IGS,1,0,0,0,0,4.8999999999999995,-6.7,-9.799999999999999,12.8,20.0,0,Неопределено
GANP,IGS,1,0,0,0,0,3.3,7.0,-9.0,11.9,22.0,0,Неопределено
GMSD,IGS,1,0,0,0,0,15.9,-4.8999999999999995,-4.6,17.3,21.0,0,Неопределено
GLPS,IGS,1,0,0,0,0,0.0,4.7,-6.1000000000000005,7.7,23.0,0,Неопределено
GCGO,IGS,1,0,0,0,0,-50.0,37.699999999999996,-11.5,63.70000000000001,26.0,0,Неопределено
GOLD,IGS,1,0,0,0,0,3.3,-10.6,-7.9,13.700000000000001,21.0,0,Неопределено
GODE,IGS,1,0,0,0,0,6.5,-6.7,-10.4,14.0,22.0,0,Неопределено
GODN,IGS,1,0,0,0,0,3.6,-6.8999999999999995,-7.3,10.7,22.0,0,Неопределено
GODS,IGS,1,0,0,0,0,7.3,-5.3,-8.0,12.1,21.0,0,Неопределено
GRAC,IGS,1,0,0,0,0,0.1,5.7,-5.8,8.1,22.0,0,Неопределено
GRAS,IGS,1,0,0,0,0,2.1,4.2,-17.2,17.8,23.0,0,Неопределено
GOP6,IGS,1,0,0,0,0,2.4,6.2,-13.4,15.0,25.0,0,Неопределено
GOPE,IGS,1,0,0,0,0,3.1,7.7,-7.9,11.5,24.0,0,Неопределено
GRAZ,IGS,1,0,0,0,0,0.3,5.7,-14.6,15.7,21.0,0,Неопределено
HERT,IGS,1,0,0,0,0,0.9,-1.5,0.3,1.8,16.0,0,Неопределено
HARB,IGS,1,0,0,0,0,-1.1,1.2,-0.3,1.7,28.0,0,Неопределено
GUAM,IGS,1,0,0,0,0,-7.7,0.0,17.9,19.400000000000002,25.0,0,Неопределено
HAL1,IGS,1,0,0,0,0,-1.6,1.6,3.2,3.9,27.0,0,Неопределено
HKSL,IGS,1,0,0,0,0,14.6,2.4,-12.4,19.3,23.0,0,Неопределено
HKWS,IGS,1,0,0,0,0,21.0,-8.1,6.8999999999999995,23.5,23.0,0,Неопределено
HLFX,IGS,1,0,0,0,0,4.2,3.3,-5.8999999999999995,8.0,22.0,0,Неопределено
HERS,IGS,1,0,0,0,0,3.0,3.1,-12.3,13.0,26.0,0,Неопределено
HOFN,IGS,1,0,0,0,0,2.2,6.4,-20.6,21.6,22.0,0,Неопределено
HRAO,IGS,1,0,0,0,0,-2.3,-149.10000000000002,-24.299999999999997,151.10000000000002,23.0,0,Неопределено
HOB2,IGS,1,0,0,0,0,-6.3,-4.1000000000000005,-12.4,14.6,30.0,0,Неопределено
HOLB,IGS,1,0,0,0,0,-3.9,2.2,-2.3,5.0,25.0,0,Неопределено
IISC,IGS,1,0,0,0,0,-0.7,1.3,-24.6,24.6,20.0,0,Неопределено
IENG,IGS,1,0,0,0,0,2.3,6.1000000000000005,-17.1,18.3,22.0,0,Неопределено
IMPZ,IGS,1,0,0,0,0,4.1000000000000005,7.6,4.1000000000000005,9.6,24.0,0,Неопределено
ISTA,IGS,1,0,0,0,0,-32.5,55.0,-25.3,68.7,20.0,0,Неопределено
ISHI,IGS,1,0,0,0,0,-118.5,565.3000000000001,60.3,580.8,19.0,0,Неопределено
JCTW,IGS,1,0,0,0,0,4.5,0.3,13.299999999999999,14.0,15.0,0,Неопределено
IQAL,IGS,1,0,0,0,0,2.4,-5.6,-7.0,9.299999999999999,27.0,0,Неопределено
JOZE,IGS,1,0,0,0,0,2.3,6.5,1.0,7.0,23.0,0,Неопределено
JPRE,IGS,1,0,0,0,0,1.5,2.0,23.599999999999998,23.7,25.0,0,Неопределено
JOZ2,IGS,1,0,0,0,0,0.0,3.1,-5.6,6.4,23.0,0,Неопределено
JOG2,IGS,1,0,0,0,0,3.6,5.6,-7.8,10.200000000000001,25.0,0,Неопределено
JPLM,IGS,1,0,0,0,0,-0.1,-1.0,11.700000000000001,11.700000000000001,25.0,0,Неопределено
KAT1,IGS,1,0,0,0,0,1.6,-7.7,-12.3,14.6,28.0,0,Неопределено
KARR,IGS,1,0,0,0,0,3.9,-1.3,1.6,4.4,26.0,0,Неопределено
KERG,IGS,1,0,0,0,0,-5.3,-5.0,-6.7,9.799999999999999,24.0,0,Неопределено
KIT3,IGS,1,0,0,0,0,-1.1,-1.6,-12.200000000000001,12.4,19.0,0,Неопределено
KIRI,IGS,1,0,0,0,0,1.1,7.5,2.6,8.0,24.0,0,Неопределено
KIR8,IGS,1,0,0,0,0,4.8999999999999995,1.1,-24.2,24.7,22.0,0,Неопределено
KIR0,IGS,1,0,0,0,0,4.4,2.1,-21.3,21.8,22.0,0,Неопределено
KIRU,IGS,1,0,0,0,0,2.9,1.3,-21.2,21.4,25.0,0,Неопределено
KOKB,IGS,1,0,0,0,0,-87.4,-44.5,-129.1,162.1,24.0,0,Неопределено
KOKV,IGS,1,0,0,0,0,2.8,7.1000000000000005,3.2,8.3,23.0,0,Неопределено
KITG,IGS,1,0,0,0,0,0.3,-7.5,-19.400000000000002,20.8,20.0,0,Неопределено
KOS1,IGS,1,0,0,0,0,5.0,5.8999999999999995,-4.3,8.8,25.0,0,Неопределено
