station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
OMSR,ФАГС,1,0.0,0.0,0.0,0.0,9.700000000000001,-6.1000000000000005,-16.5,20.1,24.0,0.0,Неопределено
OXTK,ФАГС,1,0.0,0.0,0.0,0.0,-25.5,25.4,14.3,38.800000000000004,24.0,0.0,Неопределено
ONGY,ФАГС,1,0.0,0.0,0.0,0.0,-1.0,14.4,-23.0,27.099999999999998,23.0,0.0,Неопределено
PEVK,ФАГС,1,0.0,0.0,0.0,0.0,-48.300000000000004,29.0,-24.8,61.5,22.0,0.0,Неопределено
PNGD,ФАГС,1,0.0,0.0,0.0,0.0,0.8,10.8,-24.9,27.099999999999998,24.0,0.0,Неопределено
RGSK,ФАГС,1,0.0,0.0,0.0,0.0,9.2,4.2,79.10000000000001,79.69999999999999,20.0,0.0,Неопределено
RBCS,ФАГС,1,0.0,0.0,0.0,0.0,19.2,-32.0,-47.6,60.5,21.0,0.0,Неопределено
SEGE,ФАГС,1,0.0,0.0,0.0,0.0,15.9,11.9,-103.1,105.0,22.0,0.0,Неопределено
SEMH,ФАГС,1,0.0,0.0,0.0,0.0,29.0,3.8,30.099999999999998,42.0,22.0,0.0,Неопределено
SPB2,ФАГС,1,0.0,0.0,0.0,0.0,6.3,-1.3,21.2,22.2,14.0,0.0,Неопределено
SLH1,ФАГС,1,0.0,0.0,0.0,0.0,1.7,5.2,-19.5,20.2,23.0,0.0,Неопределено
SVK1,ФАГС,1,0.0,0.0,0.0,0.0,15.5,-26.0,-131.89999999999998,135.3,20.0,0.0,Неопределено
TUAP,ФАГС,1,0.0,0.0,0.0,0.0,-220.1,883.9,-169.1,926.5,12.0,0.0,Неопределено
TILK,ФАГС,1,0.0,0.0,0.0,0.0,-22.599999999999998,37.3,20.5,48.2,20.0,0.0,Неопределено
TIXG,ФАГС,1,0.0,0.0,0.0,0.0,-3.5,5.8999999999999995,72.7,73.0,24.0,0.0,Неопределено
TURR,ФАГС,1,0.0,0.0,0.0,0.0,-17.3,17.9,-135.4,137.7,23.0,0.0,Неопределено
TULN,ФАГС,1,0.0,0.0,0.0,0.0,20.6,8.4,-134.9,136.7,23.0,0.0,Неопределено
UFGS,ФАГС,1,0.0,0.0,0.0,0.0,12.0,10.9,-93.5,94.89999999999999,21.0,0.0,Неопределено
UNGN,ФАГС,1,0.0,0.0,0.0,0.0,19.5,-10.0,-38.9,44.699999999999996,21.0,0.0,Неопределено
VLS1,ФАГС,1,0.0,0.0,0.0,0.0,-2.0,20.7,4.7,21.3,23.0,0.0,Неопределено
VLDV,ФАГС,1,0.0,0.0,0.0,0.0,-53.8,47.800000000000004,-10.7,72.8,19.0,0.0,Неопределено
VNOV,ФАГС,1,0.0,0.0,0.0,0.0,-5.3,3.9,-17.7,18.9,20.0,0.0,Неопределено
VRH1,ФАГС,1,0.0,0.0,0.0,0.0,-43.2,22.599999999999998,-18.0,52.0,23.0,0.0,Неопределено
ZVRG,ФАГС,1,0.0,0.0,0.0,0.0,22.9,13.799999999999999,-35.0,44.0,19.0,0.0,Неопределено
ZHEL,ФАГС,1,0.0,0.0,0.0,0.0,-12.3,-7.7,-64.8,66.4,19.0,0.0,Неопределено
VRH2,ФАГС,1,0.0,0.0,0.0,0.0,-5.8999999999999995,12.200000000000001,-43.5,45.6,27.0,0.0,Неопределено
