station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
VALD,23,0.019387,0.004529,0.0131,0.0283,0.000944,0.007274,0.003046,0.000239,0.00354,0.01743,0.004363,14.521739,2.79398,8,19,89.521739,27.739158,1.0,0.003046,0.00354,0.004363,0.004529,Прецизионные (3-5 мм)
VILL,24,0.012083,0.003599,0.0055,0.0211,0.000735,0.006092,0.002255,0.006112,0.003889,-0.004767,0.0066,24.416667,2.18526,20,28,166.741667,36.567197,1.0,0.002255,0.003889,0.0066,0.003599,Прецизионные (3-5 мм)
VIS0,24,0.008338,0.003989,0.0031,0.0183,0.000814,0.002158,0.003875,0.004654,0.003785,-0.002179,0.005151,25.25,2.151845,22,29,183.1625,28.280179,1.0,0.003875,0.003785,0.005151,0.003989,Прецизионные (3-5 мм)
VOIM,7,0.011929,0.005308,0.0031,0.0206,0.002006,0.000829,0.003815,0.005471,0.002752,0.003614,0.010994,23.714286,1.799471,21,27,163.028571,58.128356,1.0,0.003815,0.002752,0.010994,0.005308,Высокоточные (5-8 мм)
WAB2,22,0.011209,0.004911,0.006,0.0247,0.001047,0.001909,0.004202,-0.001023,0.006172,-0.003623,0.009042,16.454545,1.625021,13,19,50.881818,29.087759,1.227273,0.004202,0.006172,0.009042,0.004911,Прецизионные (3-5 мм)
WARN,25,0.00804,0.004691,0.0009,0.0177,0.000938,0.002232,0.00363,0.002028,0.004409,-0.001092,0.0068,25.96,2.281812,20,29,199.716,45.23505,1.0,0.00363,0.004409,0.0068,0.004691,Прецизионные (3-5 мм)
WHIT,23,0.0108,0.004161,0.003,0.0182,0.000868,0.003339,0.002691,0.002404,0.003652,0.008191,0.005533,26.173913,2.037203,22,30,197.017391,27.712479,1.0,0.002691,0.003652,0.005533,0.004161,Прецизионные (3-5 мм)
WILL,25,0.010756,0.005868,0.0033,0.0254,0.001174,0.000828,0.002979,0.0025,0.003921,0.000928,0.011067,24.48,3.343152,16,31,181.168,50.544145,1.0,0.002979,0.003921,0.011067,0.005868,Высокоточные (5-8 мм)
WIND,24,0.010971,0.005365,0.0027,0.0224,0.001095,-0.002433,0.003596,0.000633,0.004612,-0.007679,0.007232,26.875,2.490198,19,30,194.454167,45.938257,1.0,0.003596,0.004612,0.007232,0.005365,Высокоточные (5-8 мм)
WROC,25,0.010576,0.004969,0.0035,0.0216,0.000994,0.002596,0.004115,0.003212,0.004215,-0.006688,0.006479,23.24,2.570344,17,27,172.572,62.556718,1.2,0.004115,0.004215,0.006479,0.004969,Прецизионные (3-5 мм)
WSRT,23,0.010178,0.005606,0.0032,0.0233,0.001169,0.003165,0.004424,0.002243,0.004483,-0.005396,0.007345,24.086957,2.087039,18,27,168.234783,44.887168,1.217391,0.004424,0.004483,0.007345,0.005606,Высокоточные (5-8 мм)
WTZR,24,0.009883,0.005013,0.0033,0.0214,0.001023,0.001342,0.003672,0.003129,0.004481,-0.005708,0.006849,23.416667,1.411649,21,26,182.066667,28.318678,1.0,0.003672,0.004481,0.006849,0.005013,Высокоточные (5-8 мм)
WTZZ,24,0.009967,0.005005,0.0029,0.0212,0.001022,0.001583,0.00351,0.001917,0.00449,-0.006362,0.006901,25.458333,1.864524,23,30,201.258333,39.519823,1.0,0.00351,0.00449,0.006901,0.005005,Высокоточные (5-8 мм)
WUH2,23,0.025748,0.008515,0.011,0.0427,0.001775,-0.00087,0.001521,0.000352,0.003963,-0.025309,0.008727,19.347826,2.207605,15,23,148.578261,48.118131,1.0,0.001521,0.003963,0.008727,0.008515,Средней точности (8-12 мм)
WUHN,19,0.017684,0.010561,0.0077,0.0437,0.002423,0.001016,0.002621,0.001905,0.006426,0.001737,0.019637,4.263158,0.561951,4,6,11.768421,0.725758,6.0,0.002621,0.006426,0.019637,0.010561,Средней точности (8-12 мм)
YAR2,23,0.01297,0.005819,0.0049,0.0282,0.001213,-0.006626,0.006059,-0.003422,0.005222,-0.001417,0.009239,21.913043,2.983486,15,27,137.704348,63.395694,1.217391,0.006059,0.005222,0.009239,0.005819,Высокоточные (5-8 мм)
YAR3,23,0.015178,0.006431,0.0021,0.025,0.001341,-0.007109,0.00671,-0.004161,0.006175,0.0069,0.008847,23.608696,3.66481,14,29,176.143478,79.027842,1.0,0.00671,0.006175,0.008847,0.006431,Высокоточные (5-8 мм)
YARR,22,0.014609,0.006097,0.0036,0.029,0.0013,-0.006873,0.006886,-0.00475,0.004937,0.005932,0.008906,23.545455,3.875777,14,29,161.445455,78.032458,1.681818,0.006886,0.004937,0.008906,0.006097,Высокоточные (5-8 мм)
YEBE,23,0.009917,0.003833,0.0048,0.0208,0.000799,0.00237,0.001679,0.002961,0.003704,-0.006709,0.006199,21.695652,1.607787,18,25,144.913043,26.42876,1.0,0.001679,0.003704,0.006199,0.003833,Прецизионные (3-5 мм)
YEL2,24,0.0198,0.00696,0.0091,0.036,0.001421,0.0057,0.002544,0.006083,0.003187,0.016392,0.009381,26.416667,2.94761,21,34,206.533333,41.87724,1.0,0.002544,0.003187,0.009381,0.00696,Высокоточные (5-8 мм)
YELL,25,0.01256,0.005385,0.0052,0.0268,0.001077,0.003032,0.003226,0.005088,0.004019,0.007592,0.00838,24.4,2.345208,19,28,181.256,48.946357,1.0,0.003226,0.004019,0.00838,0.005385,Высокоточные (5-8 мм)
YKRO,21,0.01131,0.00356,0.0054,0.0175,0.000777,0.006386,0.003294,0.001767,0.003513,0.001257,0.008712,26.047619,1.716863,23,29,199.190476,46.11736,1.0,0.003294,0.003513,0.008712,0.00356,Прецизионные (3-5 мм)
ZAMB,17,0.009159,0.003523,0.0043,0.0152,0.000855,-0.002212,0.003876,0.000153,0.003024,0.001729,0.008316,26.764706,2.488207,21,31,166.7,57.015141,1.0,0.003876,0.003024,0.008316,0.003523,Прецизионные (3-5 мм)
ZECK,24,0.010696,0.003417,0.0053,0.0178,0.000697,0.002337,0.001949,0.000804,0.003202,-0.009258,0.004615,24.333333,1.880487,22,29,188.316667,32.105135,1.0,0.001949,0.003202,0.004615,0.003417,Прецизионные (3-5 мм)
ZIM2,24,0.010079,0.004094,0.0044,0.0201,0.000836,0.002692,0.003589,0.004671,0.004312,-0.005167,0.005734,24.125,2.507597,18,29,184.191667,46.274868,1.0,0.003589,0.004312,0.005734,0.004094,Прецизионные (3-5 мм)
ZIM3,20,0.01242,0.005703,0.0051,0.0266,0.001275,0.004355,0.004012,0.007125,0.00573,-0.002895,0.007981,23.75,2.314144,18,28,172.49,55.718625,1.25,0.004012,0.00573,0.007981,0.005703,Высокоточные (5-8 мм)
