station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
PERT,23,0.018004,0.007838,0.0053,0.0368,0.001634,-0.005883,0.003513,-0.005609,0.004806,0.012813,0.01115,18.73913,4.047641,8,24,113.213043,69.302855,1.652174,0.003513,0.004806,0.01115,0.007838,Высокоточные (5-8 мм)
PGEN,6,0.009933,0.002655,0.0071,0.0136,0.001084,0.007283,0.003185,-0.00155,0.002569,0.0014,0.006332,21.166667,3.970726,15,26,165.9,92.535723,1.0,0.003185,0.002569,0.006332,0.002655,Экстра-прецизионные (< 3 мм)
PICL,25,0.012396,0.005321,0.0023,0.0242,0.001064,0.007144,0.003112,0.002476,0.003477,-0.00662,0.007838,22.72,2.13151,17,27,194.008,38.08904,1.0,0.003112,0.003477,0.007838,0.005321,Высокоточные (5-8 мм)
PIE1,25,0.010068,0.003656,0.0037,0.0174,0.000731,0.004764,0.001718,0.002088,0.003087,-0.005424,0.006895,20.48,2.347339,15,26,172.436,46.252548,1.0,0.001718,0.003087,0.006895,0.003656,Прецизионные (3-5 мм)
PIMO,22,0.025291,0.010577,0.0016,0.0471,0.002255,0.002064,0.002509,-0.004468,0.005936,-0.023845,0.011008,18.227273,3.624412,11,25,101.804545,55.642665,1.227273,0.002509,0.005936,0.011008,0.010577,Средней точности (8-12 мм)
PNGM,6,0.020083,0.010987,0.0113,0.038,0.004485,0.0012,0.003508,0.002183,0.006298,0.012667,0.018813,25.166667,4.119061,17,28,200.183333,80.173348,1.0,0.003508,0.006298,0.018813,0.010987,Средней точности (8-12 мм)
POAL,24,0.00995,0.0045,0.0023,0.019,0.000918,-0.002992,0.004464,-0.000217,0.003941,0.001254,0.008765,20.833333,2.853932,10,25,169.3375,42.00594,1.208333,0.004464,0.003941,0.008765,0.0045,Прецизионные (3-5 мм)
POL2,20,0.013885,0.004593,0.0054,0.0227,0.001027,0.002205,0.00141,-0.00171,0.003161,-0.013205,0.004499,25.15,1.814416,21,28,179.815,26.247071,1.0,0.00141,0.003161,0.004499,0.004593,Прецизионные (3-5 мм)
POLV,22,0.011386,0.007369,0.0032,0.0296,0.001571,-0.001423,0.004264,0.002505,0.006978,-0.003027,0.010249,22.818182,2.92178,12,27,103.340909,35.285471,1.0,0.004264,0.006978,0.010249,0.007369,Высокоточные (5-8 мм)
POTS,23,0.014287,0.006668,0.0033,0.0311,0.00139,0.002604,0.005838,0.0018,0.004203,-0.012435,0.00574,26.0,2.276361,20,31,203.356522,43.134376,1.0,0.005838,0.004203,0.00574,0.006668,Высокоточные (5-8 мм)
POVE,24,0.013858,0.006046,0.0041,0.0231,0.001234,0.003475,0.00364,0.002154,0.004681,0.0095,0.009464,24.25,2.862805,13,28,188.2875,40.593942,1.0,0.00364,0.004681,0.009464,0.006046,Высокоточные (5-8 мм)
