station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
MOBS,35,-0.003811,0.004165,-0.008386,0.0054,0.007334,0.006382,0.014958,0.005032,0.014111,23.742857,164.671429,0.942857,0.005032,Пониженной точности (12-20 мм)
MRC1,25,0.00532,0.002409,0.002096,0.003653,-0.006624,0.009397,0.013421,0.006916,0.011584,23.08,190.608,1.0,0.006916,Пониженной точности (12-20 мм)
MRO1,30,-0.00385,0.006551,-0.00132,0.005329,0.00778,0.013215,0.017725,0.0096,0.015003,21.733333,148.046667,0.933333,0.0096,Пониженной точности (12-20 мм)
NANO,36,0.002369,0.002786,0.005022,0.00412,0.004089,0.005711,0.01016,0.003748,0.009464,24.638889,196.447222,1.0,0.003748,Средней точности (8-12 мм)
NAUR,35,0.002311,0.005154,-0.005666,0.006859,0.003866,0.008602,0.013992,0.007138,0.012094,23.828571,187.745714,1.0,0.007138,Пониженной точности (12-20 мм)
NAUS,38,0.005205,0.00404,-0.001203,0.005313,0.01265,0.005875,0.016291,0.006035,0.015163,23.526316,185.018421,1.0,0.006035,Пониженной точности (12-20 мм)
NICO,32,0.001584,0.002172,0.002191,0.005226,-0.016412,0.006878,0.018849,0.006821,0.017612,23.25,175.190625,1.0,0.006821,Пониженной точности (12-20 мм)
NIST,26,0.002854,0.002782,0.002696,0.003586,-0.000408,0.006815,0.008951,0.003079,0.008427,19.423077,149.480769,1.0,0.003079,Средней точности (8-12 мм)
NIUM,34,0.0101,0.005673,-0.029226,0.004611,0.001588,0.007354,0.032608,0.004948,0.032241,21.764706,164.385294,1.0,0.004948,Низкой точности (20-50 мм)
NKLG,38,0.002732,0.003009,0.002645,0.003901,-0.002697,0.007426,0.009957,0.004143,0.009079,25.710526,209.060526,1.0,0.004143,Средней точности (8-12 мм)
NLIB,34,0.002376,0.001684,0.003088,0.003759,-0.001865,0.00813,0.009962,0.002426,0.009671,19.323529,155.197059,1.0,0.002426,Средней точности (8-12 мм)
NNOR,38,-0.002039,0.004723,0.000284,0.004989,0.005882,0.008606,0.012532,0.006196,0.010939,20.368421,136.568421,0.894737,0.006196,Пониженной точности (12-20 мм)
NOT1,36,-0.000989,0.002172,0.006322,0.004462,-0.011733,0.008356,0.016429,0.007485,0.014678,21.222222,143.394444,1.0,0.007485,Пониженной точности (12-20 мм)
NRC1,37,0.001657,0.003021,0.003286,0.002869,-0.007765,0.006289,0.011358,0.004697,0.01037,22.27027,173.324324,1.0,0.004697,Средней точности (8-12 мм)
NVSK,33,-0.002436,0.001248,-0.002648,0.003538,0.029391,0.003914,0.030087,0.004004,0.029827,15.666667,109.560606,1.0,0.004004,Низкой точности (20-50 мм)
NYA2,38,0.001384,0.002873,-0.000645,0.003408,-0.010995,0.006764,0.013677,0.006426,0.012118,28.578947,224.602632,1.0,0.006426,Пониженной точности (12-20 мм)
OBE4,36,0.003756,0.004591,0.003522,0.005019,-0.005394,0.008465,0.013066,0.005882,0.011708,23.777778,184.758333,0.972222,0.005882,Пониженной точности (12-20 мм)
OHI3,27,-0.004404,0.003147,0.002315,0.004333,-0.022478,0.005579,0.02424,0.00544,0.023644,24.555556,185.007407,1.0,0.00544,Низкой точности (20-50 мм)
ONS1,38,0.001163,0.003023,0.003974,0.003916,-0.007205,0.006103,0.01137,0.004847,0.010316,23.842105,186.386842,0.973684,0.004847,Средней точности (8-12 мм)
ONSA,33,0.0018,0.002767,0.003394,0.00372,-0.007497,0.007091,0.011843,0.005406,0.010579,24.575758,188.539394,1.0,0.005406,Средней точности (8-12 мм)
ORID,35,0.001166,0.002973,0.001049,0.003851,-0.010909,0.006416,0.013606,0.006268,0.012123,22.171429,135.091429,0.942857,0.006268,Пониженной точности (12-20 мм)
PADO,35,0.00206,0.002802,0.00188,0.003984,-0.00838,0.004549,0.010991,0.003788,0.010337,21.971429,159.351429,1.0,0.003788,Средней точности (8-12 мм)
PARC,23,-0.008109,0.005318,-0.003335,0.003859,-0.017752,0.008567,0.022434,0.008672,0.02077,24.086957,189.878261,1.0,0.008672,Низкой точности (20-50 мм)
PARK,14,0.001214,0.003886,-0.006964,0.005157,-0.004871,0.00732,0.012733,0.00472,0.011893,25.714286,204.042857,1.0,0.00472,Пониженной точности (12-20 мм)
PENC,35,0.004506,0.003654,0.001449,0.008087,-0.003749,0.010737,0.014986,0.005804,0.013851,14.457143,64.531429,0.942857,0.005804,Пониженной точности (12-20 мм)
