station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
ABMF,32,0.008666,0.006028,-0.003428,0.006299,-0.003463,0.009166,0.015934,0.006943,0.014394,20.6875,142.528125,1.0,0.006943,Пониженной точности (12-20 мм)
AGGO,36,-0.000225,0.004561,0.001422,0.00555,0.006369,0.010736,0.014317,0.007832,0.012056,20.444444,152.341667,0.944444,0.007832,Пониженной точности (12-20 мм)
AJAC,36,0.003197,0.003058,0.004169,0.003979,-0.012761,0.007149,0.016271,0.00665,0.014892,22.666667,161.513889,1.0,0.00665,Пониженной точности (12-20 мм)
ALAC,35,0.000934,0.002503,0.006169,0.005441,-0.007214,0.005852,0.012609,0.004931,0.011634,23.028571,161.265714,1.0,0.004931,Пониженной точности (12-20 мм)
ALBH,36,0.002794,0.002879,-0.002747,0.003116,-0.000536,0.006069,0.008301,0.003242,0.007661,22.583333,187.091667,1.0,0.003242,Средней точности (8-12 мм)
ALGO,35,0.005289,0.003116,0.005614,0.003923,-0.005434,0.004403,0.011506,0.003337,0.011026,23.371429,185.177143,1.0,0.003337,Средней точности (8-12 мм)
ALIC,35,0.000469,0.004134,-0.002277,0.0072,0.011194,0.007144,0.015708,0.005709,0.014666,23.285714,160.611429,0.942857,0.005709,Пониженной точности (12-20 мм)
AMC4,34,5.6e-05,0.002232,0.001682,0.003057,0.008085,0.006614,0.01116,0.005618,0.009691,20.941176,194.341176,1.0,0.005618,Средней точности (8-12 мм)
ANMG,34,0.002512,0.004792,0.003968,0.005832,0.001397,0.009377,0.012836,0.004546,0.012029,20.235294,180.338235,1.0,0.004546,Пониженной точности (12-20 мм)
ARHT,36,-0.001839,0.004869,-0.004919,0.002531,-0.024972,0.010806,0.028165,0.007907,0.027064,25.027778,193.425,0.944444,0.007907,Низкой точности (20-50 мм)
ARUC,33,0.000909,0.001423,0.003148,0.004174,-0.011903,0.001929,0.01322,0.001778,0.013103,24.151515,194.127273,1.0,0.001778,Пониженной точности (12-20 мм)
ASCG,38,0.00415,0.002201,0.003368,0.003759,0.003532,0.007652,0.0108,0.003799,0.010129,22.421053,179.244737,1.0,0.003799,Средней точности (8-12 мм)
BADG,29,0.002438,0.001444,0.002072,0.002964,-0.018603,0.003822,0.01953,0.00371,0.019186,24.793103,178.548276,1.0,0.00371,Пониженной точности (12-20 мм)
BAIE,29,0.001728,0.002343,0.000731,0.006593,0.010845,0.006284,0.014378,0.005968,0.013128,14.034483,72.162069,1.0,0.005968,Пониженной точности (12-20 мм)
BAKE,37,-0.000976,0.00219,0.004022,0.003195,-0.000692,0.008407,0.010058,0.00435,0.009097,26.0,204.591892,1.0,0.00435,Средней точности (8-12 мм)
BAMF,29,0.006155,0.002422,0.003838,0.004654,0.000745,0.007186,0.011364,0.001353,0.011286,21.758621,158.065517,1.0,0.001353,Средней точности (8-12 мм)
BELE,38,0.006771,0.006607,-0.000358,0.005656,0.027592,0.010197,0.031317,0.009748,0.029803,15.0,145.844737,1.0,0.009748,Низкой точности (20-50 мм)
BIK0,35,-0.000689,0.002703,-0.001351,0.003845,-0.022814,0.00816,0.024697,0.008039,0.023391,25.171429,198.557143,1.0,0.008039,Низкой точности (20-50 мм)
BOAV,33,0.006297,0.003112,0.002661,0.004344,0.006958,0.005799,0.012455,0.003331,0.012015,23.212121,199.345455,1.0,0.003331,Пониженной точности (12-20 мм)
BOGI,32,0.005312,0.003347,0.000813,0.004693,0.014966,0.005885,0.017841,0.005696,0.016938,19.46875,136.878125,1.0,0.005696,Пониженной точности (12-20 мм)
BOGT,34,0.003806,0.002003,0.003685,0.004759,0.000768,0.006575,0.009831,0.003055,0.009359,22.764706,155.923529,1.0,0.003055,Средней точности (8-12 мм)
BOR1,33,0.00353,0.003054,0.003467,0.004553,-0.002661,0.005804,0.009675,0.003952,0.008858,24.484848,193.618182,1.0,0.003952,Средней точности (8-12 мм)
BRAZ,37,5e-06,0.004705,0.000468,0.006869,0.005038,0.010682,0.014288,0.007319,0.01233,18.648649,156.651351,1.0,0.007319,Пониженной точности (12-20 мм)
BREW,36,0.002556,0.00259,0.004,0.00406,0.001889,0.005459,0.008799,0.003628,0.008039,23.444444,185.330556,1.0,0.003628,Средней точности (8-12 мм)
BRST,35,0.002154,0.003448,0.002026,0.005518,-0.004346,0.005779,0.010062,0.004326,0.009114,25.228571,190.06,1.0,0.004326,Средней точности (8-12 мм)
BRUX,36,0.004861,0.004904,0.002061,0.004415,-0.009717,0.006457,0.014307,0.005563,0.013214,27.083333,204.783333,1.0,0.005563,Пониженной точности (12-20 мм)
BSHM,38,0.003932,0.002936,0.000708,0.004886,-0.014489,0.005285,0.016864,0.004839,0.016174,23.473684,184.434211,0.973684,0.004839,Пониженной точности (12-20 мм)
BUCU,31,0.001542,0.004834,0.000239,0.005855,-0.011829,0.013536,0.019379,0.009286,0.01709,22.0,142.351613,0.935484,0.009286,Пониженной точности (12-20 мм)
CACE,33,-0.00017,0.002246,0.005421,0.004772,-0.008027,0.011002,0.015449,0.007303,0.013673,22.393939,123.457576,1.0,0.007303,Пониженной точности (12-20 мм)
CANT,29,0.003145,0.003451,0.00041,0.005346,0.013628,0.00805,0.017244,0.006989,0.015817,19.241379,122.344828,1.0,0.006989,Пониженной точности (12-20 мм)
CAS1,38,0.002092,0.005666,-0.002371,0.004282,-0.016026,0.010247,0.020443,0.006469,0.019421,23.842105,175.873684,0.947368,0.006469,Низкой точности (20-50 мм)
CCJ2,35,0.00392,0.003575,-0.00052,0.005837,-0.0101,0.011199,0.016874,0.009103,0.014291,17.142857,104.237143,0.8,0.009103,Пониженной точности (12-20 мм)
CEBR,36,0.001994,0.001964,0.005983,0.005062,-0.010669,0.005159,0.01445,0.004888,0.013622,25.333333,188.4,1.0,0.004888,Пониженной точности (12-20 мм)
CHPG,34,-0.000603,0.003329,-0.003965,0.00622,-0.002909,0.010732,0.013586,0.007295,0.011529,17.5,138.935294,0.941176,0.007295,Пониженной точности (12-20 мм)
CHPI,34,0.000944,0.004046,-0.001621,0.006116,-0.003679,0.008212,0.011592,0.004424,0.010741,20.470588,198.673529,1.0,0.004424,Средней точности (8-12 мм)
CHUR,38,0.003684,0.002308,0.007237,0.003394,-0.008179,0.009596,0.015465,0.006461,0.014089,25.394737,204.697368,1.0,0.006461,Пониженной точности (12-20 мм)
CHWK,31,0.003045,0.002077,0.002584,0.003323,0.006174,0.003333,0.008902,0.002313,0.008606,19.903226,182.487097,1.0,0.002313,Средней точности (8-12 мм)
CIBG,33,0.000533,0.005122,-0.002306,0.008804,0.003415,0.012304,0.016252,0.009013,0.013615,23.515152,173.109091,1.0,0.009013,Пониженной точности (12-20 мм)
CKIS,34,0.004526,0.005211,-0.001309,0.007912,0.006897,0.010789,0.016429,0.006946,0.014935,19.735294,151.805882,0.823529,0.006946,Пониженной точности (12-20 мм)
CMUM,38,0.006561,0.002433,0.000997,0.006548,-0.01585,0.010637,0.02124,0.007783,0.019803,17.552632,82.910526,0.973684,0.007783,Низкой точности (20-50 мм)
COCO,34,0.018988,0.007739,0.015121,0.005357,0.002385,0.017019,0.031004,0.008332,0.029897,23.088235,179.967647,1.0,0.008332,Низкой точности (20-50 мм)
CORD,35,0.000963,0.003706,-0.022974,0.004309,0.00076,0.00573,0.024339,0.004375,0.023954,22.228571,172.651429,0.914286,0.004375,Низкой точности (20-50 мм)
CPVG,38,0.005316,0.003698,0.001958,0.004652,-0.006855,0.007392,0.012906,0.005594,0.011666,23.736842,172.373684,1.0,0.005594,Пониженной точности (12-20 мм)
CRO1,37,0.0081,0.003419,0.001849,0.004951,0.006146,0.007832,0.014196,0.005597,0.013078,21.216216,162.440541,1.0,0.005597,Пониженной точности (12-20 мм)
CUIB,34,0.002715,0.002453,-0.001518,0.00469,-0.000115,0.007664,0.009698,0.002036,0.009488,24.058824,198.441176,1.0,0.002036,Средней точности (8-12 мм)
CUSV,30,0.012677,0.002209,6e-05,0.004669,-0.014607,0.010851,0.022673,0.009035,0.02086,21.433333,151.126667,1.0,0.009035,Низкой точности (20-50 мм)
CYNE,33,0.0132,0.006123,0.004161,0.006474,0.000688,0.010015,0.01913,0.006172,0.018139,22.242424,190.527273,1.0,0.006172,Пониженной точности (12-20 мм)
DAE2,33,0.002891,0.002352,0.028791,0.005395,-0.018676,0.005349,0.035321,0.005399,0.034918,16.727273,111.860606,0.939394,0.005399,Низкой точности (20-50 мм)
DARW,36,0.00195,0.00402,-0.002828,0.007981,0.003142,0.010751,0.014565,0.005977,0.013319,22.666667,173.852778,0.944444,0.005977,Пониженной точности (12-20 мм)
DAV1,17,0.002376,0.004967,-0.001365,0.0098,-0.022553,0.018561,0.030867,0.009021,0.0296,24.411765,163.482353,1.0,0.009021,Низкой точности (20-50 мм)
DGAR,34,0.001591,0.003566,0.010429,0.004788,-0.004191,0.010488,0.016449,0.005664,0.015474,23.176471,189.061765,1.0,0.005664,Пониженной точности (12-20 мм)
DJIG,36,0.002186,0.001571,-0.001908,0.003674,-0.004642,0.005524,0.008682,0.003953,0.007758,27.75,218.194444,1.0,0.003953,Средней точности (8-12 мм)
DLF1,38,0.004066,0.003458,0.001937,0.004348,-0.004116,0.006623,0.010487,0.004218,0.009626,25.763158,197.642105,1.0,0.004218,Средней точности (8-12 мм)
DRAO,36,0.001897,0.002666,0.004008,0.003819,-0.002664,0.005186,0.008592,0.003007,0.008064,23.111111,191.769444,1.0,0.003007,Средней точности (8-12 мм)
DUBO,35,0.001129,0.002672,0.000823,0.002976,-0.001646,0.006519,0.007842,0.003022,0.007254,22.371429,189.251429,1.0,0.003022,Высокоточные (5-8 мм)
DUMG,27,-0.001911,0.004097,-0.003222,0.005364,-0.018985,0.006208,0.021341,0.004949,0.020781,25.851852,186.807407,1.0,0.004949,Низкой точности (20-50 мм)
DYNG,36,0.001311,0.002292,5.6e-05,0.004633,-0.012631,0.006458,0.01511,0.005876,0.013956,23.472222,191.283333,0.972222,0.005876,Пониженной точности (12-20 мм)
EBRE,4,0.0023,0.000115,-0.00115,0.006062,-0.0029,0.002078,0.00675,5.8e-05,0.00675,24.5,193.7,1.0,5.8e-05,Высокоточные (5-8 мм)
EUR2,38,-0.002782,0.003057,0.001582,0.002973,-0.008176,0.005723,0.011261,0.004749,0.010239,27.473684,220.534211,1.0,0.004749,Средней точности (8-12 мм)
FALK,35,-0.003754,0.003819,-0.003183,0.003749,-0.008703,0.005664,0.012624,0.004731,0.011731,23.342857,184.008571,1.0,0.004731,Пониженной точности (12-20 мм)
FFMJ,37,0.001749,0.004067,0.001203,0.004008,-0.005081,0.00505,0.009329,0.002954,0.008862,26.540541,210.402703,1.0,0.002954,Средней точности (8-12 мм)
FLIN,38,-0.000961,0.003946,0.009082,0.003588,-0.009516,0.010364,0.017498,0.005302,0.016697,24.315789,201.394737,1.0,0.005302,Пониженной точности (12-20 мм)
FRDN,37,0.001146,0.002669,0.002124,0.003753,-0.006276,0.005564,0.009824,0.003746,0.009103,23.243243,189.648649,1.0,0.003746,Средней точности (8-12 мм)
GAMB,35,-0.002194,0.004856,-0.004806,0.005145,-0.008957,0.009924,0.015878,0.006928,0.014334,18.342857,126.508571,0.914286,0.006928,Пониженной точности (12-20 мм)
GAMG,38,0.004213,0.003322,0.003816,0.006779,-0.0179,0.006329,0.021129,0.006633,0.020089,21.0,162.1,1.0,0.006633,Низкой точности (20-50 мм)
GANP,31,0.002081,0.002836,0.000674,0.003218,-0.003216,0.004637,0.007309,0.002244,0.006968,22.677419,201.26129,1.0,0.002244,Высокоточные (5-8 мм)
GENO,39,-0.001,0.002886,0.004392,0.004654,-0.011528,0.007844,0.015569,0.006666,0.01411,20.179487,115.141026,0.974359,0.006666,Пониженной точности (12-20 мм)
GLPS,38,-0.000584,0.002496,0.002168,0.004675,-0.0071,0.006429,0.011086,0.003621,0.010495,24.421053,173.7,0.947368,0.003621,Средней точности (8-12 мм)
GLSV,31,-0.000384,0.003649,0.003303,0.00344,-0.000981,0.006282,0.008626,0.002619,0.008232,23.290323,126.887097,1.0,0.002619,Средней точности (8-12 мм)
GMSD,29,0.013245,0.002493,-0.003234,0.00522,-0.013921,0.008711,0.022046,0.004693,0.021559,18.034483,125.317241,0.965517,0.004693,Низкой точности (20-50 мм)
GODE,36,0.0056,0.002236,0.003289,0.003267,-0.01105,0.007877,0.015486,0.005316,0.014572,23.055556,176.358333,1.0,0.005316,Пониженной точности (12-20 мм)
GODN,29,0.003717,0.002154,0.000579,0.00439,-0.007345,0.00672,0.011611,0.004211,0.010848,22.62069,196.910345,1.0,0.004211,Средней точности (8-12 мм)
GODS,30,0.005583,0.002746,0.00169,0.003844,-0.008767,0.00858,0.014262,0.005592,0.01316,23.5,192.866667,1.0,0.005592,Пониженной точности (12-20 мм)
GOP6,39,0.001667,0.004034,0.002728,0.004939,-0.008979,0.006769,0.013248,0.005239,0.012197,25.358974,184.571795,0.974359,0.005239,Пониженной точности (12-20 мм)
GOPE,36,0.002619,0.003153,0.001347,0.004045,-0.004528,0.005358,0.009075,0.004072,0.008139,23.972222,200.022222,1.0,0.004072,Средней точности (8-12 мм)
GRAC,31,-0.000529,0.002886,0.002077,0.004871,0.001987,0.011313,0.012793,0.008673,0.009532,22.290323,162.667742,1.0,0.008673,Пониженной точности (12-20 мм)
GRAS,30,0.000787,0.003338,0.003553,0.004184,-0.01007,0.005916,0.013268,0.00511,0.01228,22.866667,156.396667,0.966667,0.00511,Пониженной точности (12-20 мм)
GRAZ,33,0.000985,0.003272,0.003061,0.00362,-0.006942,0.006694,0.011198,0.005567,0.009764,22.606061,157.212121,0.969697,0.005567,Средней точности (8-12 мм)
GUAM,29,-0.001472,0.003243,-0.00271,0.008738,0.002614,0.014912,0.017737,0.009435,0.015121,20.241379,152.951724,1.0,0.009435,Пониженной точности (12-20 мм)
HAL1,35,0.00096,0.003129,-0.001446,0.007234,0.006477,0.007335,0.012556,0.007528,0.010129,22.485714,146.365714,0.971429,0.007528,Пониженной точности (12-20 мм)
HARB,37,-0.0015,0.003559,-0.000557,0.003166,0.007686,0.006487,0.011174,0.004891,0.010078,25.540541,197.543243,1.0,0.004891,Средней точности (8-12 мм)
HERS,35,0.00136,0.003309,0.002649,0.004998,-0.006011,0.005987,0.010714,0.005003,0.009511,26.771429,200.097143,1.0,0.005003,Средней точности (8-12 мм)
HERT,37,0.001384,0.003354,0.004057,0.006129,0.005905,0.006838,0.012082,0.004157,0.011365,16.0,88.794595,1.0,0.004157,Пониженной точности (12-20 мм)
HKSL,38,0.001924,0.002477,0.004171,0.00543,-0.013463,0.009119,0.017854,0.007964,0.016032,20.289474,143.244737,1.0,0.007964,Пониженной точности (12-20 мм)
HKWS,32,0.0042,0.002707,0.002209,0.004639,-0.007869,0.006831,0.012534,0.004632,0.011675,20.6875,156.3625,1.0,0.004632,Пониженной точности (12-20 мм)
HLFX,38,0.000684,0.002881,0.003805,0.004223,-0.008747,0.006045,0.012355,0.004866,0.011384,23.552632,178.636842,1.0,0.004866,Пониженной точности (12-20 мм)
HOB2,33,-0.00377,0.004119,-0.007248,0.005098,0.004318,0.006725,0.013073,0.00538,0.011952,24.363636,175.678788,1.0,0.00538,Пониженной точности (12-20 мм)
HOFN,37,0.000576,0.003706,0.005111,0.005609,0.002324,0.008685,0.012207,0.004181,0.011489,25.162162,202.418919,1.0,0.004181,Пониженной точности (12-20 мм)
HOLB,35,0.002374,0.002951,0.003446,0.004099,0.004151,0.004105,0.008708,0.002681,0.008297,25.0,193.648571,1.0,0.002681,Средней точности (8-12 мм)
HRAO,26,0.004173,0.002954,-0.002438,0.003709,0.004927,0.004855,0.009578,0.003011,0.009112,24.538462,177.703846,1.0,0.003011,Средней точности (8-12 мм)
IENG,31,0.001613,0.003151,0.00481,0.00552,-0.008942,0.004315,0.012773,0.00309,0.012406,22.741935,132.229032,1.0,0.00309,Пониженной точности (12-20 мм)
IISC,27,0.000704,0.00223,-0.001578,0.004474,-0.017504,0.007432,0.019658,0.007524,0.018219,19.814815,106.748148,0.925926,0.007524,Пониженной точности (12-20 мм)
IMPZ,36,0.002947,0.00367,0.003333,0.005557,0.007194,0.009444,0.014211,0.006382,0.012742,20.861111,186.441667,1.0,0.006382,Пониженной точности (12-20 мм)
IQAL,34,0.001653,0.003222,0.001647,0.003399,-0.002621,0.004419,0.007235,0.002482,0.006809,27.264706,213.552941,1.0,0.002482,Высокоточные (5-8 мм)
JCTW,24,0.005192,0.005814,0.000762,0.00841,0.0095,0.011399,0.018489,0.006481,0.017367,14.375,68.9125,1.0,0.006481,Пониженной точности (12-20 мм)
JOG2,35,-0.000637,0.004684,0.005209,0.007309,-0.002697,0.010313,0.014541,0.007258,0.01266,23.142857,173.754286,1.0,0.007258,Пониженной точности (12-20 мм)
JOZ2,37,0.004062,0.003025,0.002165,0.003118,-0.0042,0.006135,0.009692,0.00359,0.009022,24.297297,201.189189,1.0,0.00359,Средней точности (8-12 мм)
JOZE,36,0.006614,0.002716,0.003225,0.003726,0.003961,0.006281,0.011334,0.002569,0.011047,24.222222,195.786111,1.0,0.002569,Средней точности (8-12 мм)
JPLM,32,0.001891,0.002618,0.000269,0.002767,0.001472,0.005543,0.007043,0.003454,0.006169,21.3125,160.9375,1.0,0.003454,Высокоточные (5-8 мм)
KARR,19,0.012221,0.004573,-0.001647,0.006682,0.011742,0.010841,0.021489,0.006391,0.020568,23.631579,197.126316,0.947368,0.006391,Низкой точности (20-50 мм)
KAT1,37,-0.002376,0.006554,-0.004668,0.006738,0.000678,0.013246,0.016868,0.008323,0.014735,23.486486,172.272973,1.0,0.008323,Пониженной точности (12-20 мм)
KERG,37,-0.003132,0.005319,-0.00473,0.005383,-0.006749,0.008747,0.014419,0.00732,0.012481,20.243243,151.102703,1.0,0.00732,Пониженной точности (12-20 мм)
KIR0,30,0.001973,0.002872,0.002767,0.00301,-0.002483,0.005959,0.008294,0.001749,0.008113,26.133333,211.093333,1.0,0.001749,Средней точности (8-12 мм)
KIR8,33,0.002861,0.002907,0.002312,0.004725,-0.004561,0.010157,0.012817,0.003498,0.012345,25.484848,204.606061,1.0,0.003498,Пониженной точности (12-20 мм)
KIRI,34,-0.000168,0.004624,-0.003674,0.004693,-0.002962,0.011156,0.013609,0.006782,0.011856,22.941176,177.985294,0.970588,0.006782,Пониженной точности (12-20 мм)
KIRU,36,0.001231,0.002524,0.000575,0.003465,-0.011517,0.006629,0.013977,0.005208,0.013,27.861111,219.241667,1.0,0.005208,Пониженной точности (12-20 мм)
KIT3,36,0.000689,0.002823,-0.002464,0.004223,-0.009831,0.004742,0.012256,0.004251,0.011517,21.055556,151.591667,1.0,0.004251,Пониженной точности (12-20 мм)
KITG,35,0.001089,0.002465,-0.00646,0.00357,-0.012109,0.004132,0.014968,0.004051,0.014426,24.571429,181.691429,1.0,0.004051,Пониженной точности (12-20 мм)
KOKB,27,0.008296,0.005454,0.000304,0.00605,0.010189,0.009361,0.01793,0.006971,0.016574,20.592593,132.92963,1.0,0.006971,Пониженной точности (12-20 мм)
